"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"LINC00115",0.345971185648686,-15.1909389473885,-8.59127217922412,3.00763522873529,1.06816729240188
"NOC2L",0.829950711092698,-10.1942405543912,-9.18619698905475,2.34971416405151,2.0697260869407
"HES4",0.210515757360879,-20.0257988108452,-20.9984192493949,5.1318968576013,5.34822901903699
"ISG15",0.585755430494318,-10.1671001227025,-12.3644435141456,3.05105587323482,3.69300731838784
"C1orf159",0.454443023865403,-13.6001290679268,-8.86877441752085,2.6274989266701,1.23565418043288
"TNFRSF18",0.112573707432125,-10.9309934441878,-9.88511107142825,2.31238496594267,1.97342863359484
"TNFRSF4",0.130714407513724,-11.2831269633974,-8.96078997069479,2.61337607255312,1.86703016660337
"SDF4",2.00161239372156,-8.96071314212271,-8.35598065495685,2.04292583090783,1.9272743440109
"B3GALT6",0.232794137669244,-7.66663718437477,-9.50834961871398,1.07183022999705,1.77244259527531
"UBE2J2",2.56664185493018,-8.00572421934441,-9.97612326074713,1.74200270463212,2.33480742087669
"ACAP3",0.694745055300764,-9.35761255001759,-14.5835502230505,1.66976405600696,3.20586110707428
"PUSL1",0.737086944651883,-15.4887694920793,-11.2499373319211,3.4885693968494,2.19693463684258
"CPSF3L",0.190293219542309,-0.61550047942245,-9.66714228113018,-0.489684466966655,2.13165438192716
"GLTPD1",1.10168885375645,-9.75570300963357,-6.92610823138746,1.84540512816686,1.0091754881749
"AURKAIP1",2.82937299023089,-9.19156605683451,-10.9870392725683,2.43412044119101,2.94338134574809
"CCNL2",1.50818066228291,-11.7226089833065,-7.29249417987662,2.62582776365167,1.29943050950479
"RP4-758J18.2",1.37006008589212,-12.0169651403252,-8.82017342446981,2.5637874000495,1.67100235958446
"MRPL20",0.881625349509625,-9.71952108236613,-10.0572225941659,2.54798746308453,2.66181156742093
"ATAD3B",0.473299810679903,-10.9319557110835,-15.4478888598183,1.75994209985454,3.29626343186179
"ATAD3A",0.555528142302287,-18.2333385951937,-17.2035190591996,4.15954557134763,3.91404439989832
"SSU72",2.62121598518577,-8.17029220547541,-8.5663478311887,2.18390128085892,2.29385286937345
