"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"LINC00115",0.197308544059129,-12.2272241961111,-12.1120008116789,2.13379043070395,2.09432734447578
"NOC2L",0.614033165983379,-10.0040905744909,-10.0985584417394,2.28012221151513,2.34208389280576
"HES4",0.485151113598308,-10.2769988331203,-10.5914478902129,2.27263530101262,2.32552934131088
"ISG15",1.60150654450944,-8.73086744346135,-9.09024258445704,2.55603788477889,2.66863052466458
"C1orf159",0.221128302595279,-11.726029841205,-11.9696525175043,2.0703634990053,2.14133592187477
"TNFRSF18",0.472124069819871,-10.7236502389469,-11.0608665549654,2.22546840204555,2.29646988307744
"TNFRSF4",0.485882061300238,-10.2620623682476,-10.5988835588753,2.27293622687066,2.32402234738052
"SDF4",0.703236112001784,-9.93886940165464,-10.0752569096959,2.33468281103027,2.43374028867036
"B3GALT6",0.402254533862212,-11.5094909796825,-11.1641107195255,2.20308843468351,2.24668139774098
"UBE2J2",0.651966748772387,-9.9513400005716,-10.0594836185257,2.32119974902765,2.36349726265899
"ACAP3",0.415218356653323,-11.1336555034555,-11.2429140597329,2.19190356501215,2.22487160663475
"PUSL1",0.412157024410494,-11.0380428374623,-11.3023681232425,2.18715068309926,2.20528873285278
"CPSF3L",0.541479904835089,-10.1832427157183,-10.3837015988021,2.2725474541933,2.34310976567124
"GLTPD1",0.441448747436338,-10.9318739568322,-11.1448946338105,2.18851056492723,2.25374412688134
"AURKAIP1",1.12104826779984,-9.43294986440982,-9.58607886809964,2.49989130306492,2.5388636789604
"CCNL2",0.461301994037095,-10.4319038580702,-10.7311301978714,2.25205642924796,2.31283524476531
"RP4-758J18.2",0.470946740285219,-10.8294023576039,-10.9937576974347,2.21077452033139,2.31154248848053
"MRPL20",1.08242146164992,-9.44388761748648,-9.62629645883582,2.45421561721509,2.5103435920238
"ATAD3B",0.232209936711751,-12.2272241961111,-11.4996137140559,2.13379043070395,2.14166731430314
