"","theta","(Intercept)","log_umi"
"AL627309.1",0.170473160589547,-13.0291812176106,2.17263924388534
"RP11-206L10.2",0.098674346894391,-27.145913220048,6.05025618765022
"LINC00115",0.336309089618446,-11.7502082352493,2.00064434646771
"NOC2L",0.830170188130523,-9.65533276517029,2.19958921826076
"KLHL17",0.138959300726882,-12.5751048906749,2.0393516920102
"PLEKHN1",0.125651993779667,-6.25489122848114,0.089871334552535
"HES4",0.209503468535642,-20.4268704211006,5.21730163833813
"ISG15",0.583952546187956,-11.3930214539087,3.41003475813034
"AGRN",0.123399477321514,-11.2086054314269,1.60239046993496
"C1orf159",0.447294058409014,-11.1175412017087,1.89921675823973
"TNFRSF18",0.112066133212617,-10.3895616928561,2.13791832952984
"TNFRSF4",0.128792759316498,-10.1565980077758,2.25254754250086
"SDF4",1.95683937211036,-8.64376415115331,1.98244676782053
"B3GALT6",0.213781291426249,-8.95950024920158,1.54294652987913
"UBE2J2",2.56495849898314,-9.09019927110009,2.06831374416544
"ACAP3",0.646594423407848,-12.2553843807331,2.52498167313809
"PUSL1",0.680863008587399,-13.4422430888068,2.86669759072983
"CPSF3L",0.179600480275287,-4.80051324655392,0.730425138845998
"GLTPD1",1.09750710650383,-8.25988102065964,1.40408042346613
"DVL1",0.0902898578563477,-8.08845106567288,0.537409103054141
"MXRA8",0.0925547283071704,-10.8449149963096,1.35610522350975
"AURKAIP1",2.80438823036273,-10.1285443310828,2.7009090033999
"CCNL2",1.43715728996544,-9.47646797271505,1.95553428215747
"RP4-758J18.2",1.40466898289872,-10.2360128410875,2.06538979385664
"MRPL20",0.880766621478876,-9.91612624905639,2.61320091520431
"ATAD3C",0.00198936151953737,-11.6169426101243,2.05799895147946
"ATAD3B",0.475094044769279,-14.4196375289885,2.91057445984391
"ATAD3A",0.507138732721851,-17.6966668893035,4.0317232944353
"SSU72",2.62157186129583,-8.37582572977224,2.24115143114448
"AL645728.1",0.186070071280896,-8.83970024191545,1.28291438604835
"C1orf233",0.0610025768846207,-21.6105591481855,4.65528231657025
"RP11-345P4.9",0.3458814578833,-12.8393163598967,2.53875505443742
"MIB2",0.566283831060842,-5.28410487250334,0.793334862528882
"MMP23B",0.378779630528156,-6.83504907643605,0.591580834745754
"CDK11B",0.557904605170567,-8.49901568163498,1.41629219975972
"SLC35E2B",0.228685228398951,-4.40799206347013,0.100607287640231
"CDK11A",1.51070075540472,-10.2739939382161,2.23154619360142
"SLC35E2",0.294083664933615,-13.5614074980357,2.49698638922239
"NADK",0.799860856434814,-15.27530695535,3.61254715352853
