"","theta","(Intercept)","log_umi"
"AL627309.1",0.158147028664132,-12.743367074885,2.06256469798137
"RP11-206L10.2",0.090721269291354,-12.7921404110945,1.91917469956789
"LINC00115",0.252669045295664,-12.3369290773934,2.16608382286099
"NOC2L",0.600949324188511,-10.0490178440994,2.31533005590845
"KLHL17",0.158147028664132,-12.743367074885,2.06256469798137
"PLEKHN1",0.124744812975913,-12.9345239920951,2.0430897230423
"HES4",0.461711069559223,-10.5019311335211,2.32385979345853
"ISG15",1.5539438666603,-8.98347678852671,2.63955209883017
"AGRN",0.141473787659634,-12.8191386499719,2.05126746596957
"C1orf159",0.224820970152689,-12.0670005958397,2.17690569188224
"TNFRSF18",0.470425238331299,-10.9227495756166,2.27226185606565
"TNFRSF4",0.462499048239967,-10.5013219785986,2.32457267088296
"SDF4",0.689375617171603,-10.0108412805057,2.39038109093082
"B3GALT6",0.388130156551415,-11.2311586600654,2.20347806847025
"UBE2J2",0.63173860223854,-9.9970654483822,2.34501124807745
"ACAP3",0.40274415492585,-11.1611121498551,2.20123994370316
"PUSL1",0.399206633592182,-11.1778740585519,2.20142359739029
"CPSF3L",0.529254682790426,-10.3683788364113,2.33601952249111
"GLTPD1",0.435539115592831,-11.0634795948857,2.23141060292005
"DVL1",0.090721269291354,-12.7921404110945,1.91917469956789
"MXRA8",0.090721269291354,-12.7921404110945,1.91917469956789
"AURKAIP1",1.10892146076276,-9.51326409067557,2.52647083008814
"CCNL2",0.44150556912716,-10.5648226612931,2.28108711421567
"RP4-758J18.2",0.469513024834437,-10.940496306596,2.2722828911925
"MRPL20",1.07719357555052,-9.50345913599065,2.47776743953076
"ATAD3C",0.20586047443855,-12.4926257741773,2.08399135873834
"ATAD3B",0.225242173550997,-11.8928066779572,2.16961132666487
"ATAD3A",0.336747253740007,-11.4292249806333,2.20768150937996
"SSU72",1.12321082829822,-9.55172928860079,2.59221127359179
"AL645728.1",0.226183628844696,-11.8696976462039,2.16872789246404
"C1orf233",0.158147028664132,-12.743367074885,2.06256469798137
"RP11-345P4.9",0.262041219518392,-11.6511250774237,2.18475398016833
"MIB2",0.472836429411988,-10.4911219863517,2.33188663196503
"MMP23B",0.235831001374619,-12.1654885580238,2.16626798040572
"CDK11B",0.399206633592182,-11.1778740585519,2.20142359739029
"SLC35E2B",0.30745846932916,-11.5165418212606,2.20117954666282
"CDK11A",0.44888071364536,-10.5107787354856,2.30756436304663
"SLC35E2",0.250066880072025,-12.508963921607,2.17627790166079
"NADK",0.451272015212291,-10.6762920566033,2.27480668181645
"GNB1",0.656649881367448,-10.0042603411455,2.36696279525869
"PRKCZ",0.246161006325488,-11.7003570237215,2.17449086994333
"RP5-892K4.1",0.174120422480146,-12.6247712823772,2.05817582041029
"C1orf86",0.899334730497719,-9.81880002890511,2.46301871288019
"SKI",0.387415497071228,-11.2345599720108,2.20365151181136
"RER1",1.01015125601036,-9.6273594014679,2.47433096686028
"PEX10",0.246161006325488,-11.7003570237215,2.17449086994333
"PANK4",0.373051709105387,-11.2998379831994,2.20711150239711
"RP3-395M20.12",0.454013950085379,-10.5071062491089,2.31536370574742
"TNFRSF14",0.986067172454318,-9.68836066417884,2.47779840700717
"RP3-395M20.9",0.217168357845664,-12.5125542968357,2.11121018860736
"FAM213B",0.267827718943378,-11.6355057427823,2.18802368561981
"MMEL1",0.217168357845664,-12.5125542968357,2.11121018860736
"MEGF6",0.174120422480146,-12.6247712823772,2.05817582041029
"TPRG1L",0.345669224655264,-11.401591897882,2.20885602943548
"WRAP73",0.469073952242012,-10.9470759180348,2.27225746463897
"TP73-AS1",0.23199352621588,-11.7866684234734,2.16771263742681
"SMIM1",0.230189928028585,-12.5414312256707,2.14290754443097
"LRRC47",0.455798046667823,-10.7117678140659,2.27391579981861
"CEP104",0.3970473175067,-11.1882492880877,2.20168409990758
"DFFB",0.223483964358326,-11.9978879830348,2.17485616472569
"C1orf174",0.44224958461656,-10.5803735437603,2.27925453516894
"NPHP4",0.189222923805307,-12.520920249976,2.05838802962435
"KCNAB2",0.602324140035616,-10.0419935636494,2.31603054008996
"RPL22",2.16938470052149,-7.3100955154298,2.41840184902882
"RNF207",0.197663683629374,-12.4947298912936,2.06814566555827
"ICMT",0.415046963269713,-11.1080426793087,2.20428394207382
"ACOT7",0.227672115065572,-11.8415557376376,2.16792919520032
"RP1-202O8.3",0.090721269291354,-12.7921404110945,1.91917469956789
"ESPN",0.090721269291354,-12.7921404110945,1.91917469956789
"TNFRSF25",0.475756843251888,-10.4874729288503,2.33338428684887
"PLEKHG5",0.191703859566988,-12.5104880710749,2.06046429065225
"NOL9",0.301451509050628,-11.5352080262113,2.19974483512168
"ZBTB48",0.41151785368024,-11.1220366945387,2.20265904087788
"KLHL21",0.267827718943378,-11.6355057427823,2.18802368561981
"PHF13",0.23078253123122,-12.1364778837008,2.17188129372768
"THAP3",0.444506043608345,-11.0575779606091,2.24880821421981
"DNAJC11",0.300427718600343,-11.5384103559416,2.199496241444
"CAMTA1",0.588862983908929,-10.1201561320666,2.31486939294724
"VAMP3",0.509366199888103,-10.4231096921986,2.33909818521645
"PER3",0.22375500450459,-11.9529837127783,2.17254604697426
"UTS2",0.203504806423496,-12.4912497389434,2.07892517954733
"TNFRSF9",0.241462100414639,-12.5470979984664,2.16584933938761
"PARK7",1.46478276795373,-9.08899475351045,2.62036207875481
"RERE",0.45159033950882,-10.6788894047565,2.27473852744698
"ENO1",1.60092143398733,-8.7601746274086,2.61092404054861
"ENO1-AS1",0.217168357845664,-12.5125542968357,2.11121018860736
